5/15,,
Caffeine,Noise,Pulse_Rate
Green Tea,Quiet,75/minus
Green Tea,Loud,78/minus
5/16,,
1 can of Pepsi,Quiet,78/minus
1 can of Pepsi,Loud,87/minus
5/17,,
1 can of RedBull,Quiet,75/minus
1 can of RedBull,Loud,83/minus
5/17,,
Green Tea,Quiet,68/minus
Green Tea,Loud,70/minus
5/18,,
1 can of Pepsi,Quiet,77/minus
1 can of Pepsi,Loud,79/minus
5/18,,
1 can of RedBull,Quiet,75/minus
1 can of RedBull,Loud,80/minus
5/20,,
Green Tea,Quiet,72/minus
Green Tea,Loud,74/minus
5/20,,
1 can of Pepsi,Quiet,80/minus
1 can of Pepsi,Loud,83/minus
5/22,,
1 can of RedBull,Quiet,79/minus
1 can of RedBull,Loud,85/minus
5/23,,
Green Tea,Quiet,69/minus
Green Tea,Loud,72/minus
5/23,,
1 can of Pepsi,Quiet,76/minus
1 can of Pepsi,Loud,83/minus
5/26,,
1 can of RedBull,Quiet,76/minus
1 can of RedBull,Loud,79/minus
5/27,,
Green Tea,Quiet,67/minus
Green Tea,Loud,73/minus
5/28,,
1 can of Pepsi,Quiet,74/minus
1 can of Pepsi,Loud,81/minus
5/30,,
1 can of RedBull,Quiet,73/minus
1 can of RedBull,Loud,76/minus